Data;Nome do Ativo;Cota/Preço de Fechamento Ajustados
02/07/2020;CDI;2307,181719
03/07/2020;CDI;2307,376483
06/07/2020;CDI;2307,571265
07/07/2020;CDI;2307,766063
08/07/2020;CDI;2307,960877
09/07/2020;CDI;2308,155707
10/07/2020;CDI;2308,350555
13/07/2020;CDI;2308,545418
14/07/2020;CDI;2308,740298
15/07/2020;CDI;2308,935195
16/07/2020;CDI;2309,130107
17/07/2020;CDI;2309,325037
20/07/2020;CDI;2309,519983
21/07/2020;CDI;2309,714945
22/07/2020;CDI;2309,909924
23/07/2020;CDI;2310,104919
24/07/2020;CDI;2310,299931
27/07/2020;CDI;2310,494959
28/07/2020;CDI;2310,690003
29/07/2020;CDI;2310,885064
30/07/2020;CDI;2311,080142
31/07/2020;CDI;2311,275236
03/08/2020;CDI;2311,470346
04/08/2020;CDI;2311,665473
05/08/2020;CDI;2311,860617
06/08/2020;CDI;2312,055776
07/08/2020;CDI;2312,228469
10/08/2020;CDI;2312,401175
11/08/2020;CDI;2312,573893
12/08/2020;CDI;2312,746625
13/08/2020;CDI;2312,919369
14/08/2020;CDI;2313,092126
17/08/2020;CDI;2313,264897
18/08/2020;CDI;2313,43768
19/08/2020;CDI;2313,610476
20/08/2020;CDI;2313,783284
21/08/2020;CDI;2313,956106
24/08/2020;CDI;2314,128941
25/08/2020;CDI;2314,301788
26/08/2020;CDI;2314,474649
27/08/2020;CDI;2314,647522
28/08/2020;CDI;2314,820409
31/08/2020;CDI;2314,993308
01/09/2020;CDI;2315,16622
02/09/2020;CDI;2315,339145
03/09/2020;CDI;2315,512083
04/09/2020;CDI;2315,685034
08/09/2020;CDI;2315,857998
09/09/2020;CDI;2316,030975
10/09/2020;CDI;2316,203964
11/09/2020;CDI;2316,376967
14/09/2020;CDI;2316,549982
15/09/2020;CDI;2316,723011
16/09/2020;CDI;2316,896052
17/09/2020;CDI;2317,069106
18/09/2020;CDI;2317,242174
21/09/2020;CDI;2317,415254
22/09/2020;CDI;2317,588347
23/09/2020;CDI;2317,761453
24/09/2020;CDI;2317,934572
25/09/2020;CDI;2318,107704
